pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
9843	A family is buying something at the vending machine	A man in a suit is standing at a microphone and singing	1	NEUTRAL
7363	A tower is being looked at by a blonde lady	A woman is looking at the view of a city	3.3	NEUTRAL
8326	Two bmx bikers are jumping dirt ramps in front of a body of water	There is no bmx biker jumping dirt ramps in front of a body of water	4.4	CONTRADICTION
2968	A large green ball is hitting a potato	A large green ball is missing a potato	3.5	NEUTRAL
947	Some corndogs are being eaten by two toddlers who are in a wagon, which is really small	Two toddlers are eating corndogs in a wagon, which is really small	4.8	ENTAILMENT
6219	A man is standing on a boat in front of the sunset near a flag	A man is on a boat in front of the sunset	4.1	ENTAILMENT
6344	The white reindeer wearing dog ears is near a brown reindeer	A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass	2.2	NEUTRAL
9380	A man in green is kicking a soccer ball and a man in purple and white is rising up	The players is maneuvering for the soccer ball	3.5	NEUTRAL
8375	Two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain	Two dogs are leaping through snowy grass and rocks	2.4	NEUTRAL
1811	A flute isn't being played by a man	A man is playing the guitar loudly	2.4	NEUTRAL
7445	The girl, who is little, is swinging and the woman is standing behind	The little girl is swinging and the woman is standing behind her	4.9	ENTAILMENT
2566	Three women are dancing	A few women are dancing	4.6	ENTAILMENT
4155	A man is playing a wooden flute	There is no man playing a wooden flute	3.7	CONTRADICTION
394	A man is standing near a bike and is writing on a piece paper	A man is sitting near a bike and is writing a note	3.6	NEUTRAL
7018	A child in light colored clothing is standing with his arms extended outward	A child in clothing which is light colored is standing with his arms extended outward	5	ENTAILMENT
2898	The man is lifting barbells	The man is lifting weights	4.3	ENTAILMENT
2822	A woman is taking a mixture out of a bowl	A woman is preparing an egg in a skillet	2.7	NEUTRAL
3661	A boy is filling a pitcher with water	A woman is collecting the water from a tap in a mug	2.7	NEUTRAL
3586	A man is practicing the drum	A man is playing the drum	4.6	ENTAILMENT
6394	A waterfall is flowing into a shallow pool	The people are walking on the road beside a beautiful waterfall	2.3	NEUTRAL
1190	A man and a woman are walking together through the woods	A man and a woman are hiking through a wooded area	4.3	ENTAILMENT
8389	A white man is walking next to a building in a big city	A black man is walking next to a building in a big city	3.3	NEUTRAL
2404	The lady is slicing a tomato	There is no one cutting a tomato	3	CONTRADICTION
3107	A man is flooring a sitting guitar player	A man is sitting on the floor in a room and strumming a guitar	2.3	NEUTRAL
1470	Three young men are furiously running, jumping and kicking near a vending machine	Three men are jumping off a wall	2.5	NEUTRAL
5955	A dog is leaving a ball in the dirt	A dog is chasing a ball through dirt	3.7	NEUTRAL
5540	A group of people are marching	A group of people are dancing in a show	2.3	NEUTRAL
1861	The microphone in front of the talking parrot is being muted	The parrot is talking into the microphone	4	NEUTRAL
2166	A woman is using a machine made for sewing	A woman is sewing with a machine	4.8	ENTAILMENT
219	A girl in white is dancing	There is no girl in white dancing	4.2	CONTRADICTION
4288	The woman is slicing cooked octopus	A woman is chopping up an octopus	4.4	ENTAILMENT
3996	A boy is playing a piano	There is no man singing and playing a guitar	2.2	NEUTRAL
6729	A snow ball is being made by a child	A kid in orange is playing outside with a snowball	3.3	NEUTRAL
5806	A man is rowing a canoe	A man is rowing a boat	4.2	ENTAILMENT
9763	The elephant is being ridden by the woman	A person is slicing some mushrooms	1	NEUTRAL
3812	A woman is slicing a pepper which is green	A woman is slicing a green pepper	4.8	ENTAILMENT
3941	There is no boy checking a calendar	A boy is looking at a calendar	3.9	CONTRADICTION
4650	A man is cutting a thick rope with a sword	There is no man cutting a rope with a sword	3.6	CONTRADICTION
9788	A group of people is holding drinks and pointing at the camera	A man is playing an electric guitar	1	NEUTRAL
5698	The man is sprinkling cheese on the pizza	The cook is sprinkling cheese on the pizza	4	NEUTRAL
7677	A young mother is playing with her boy in the park	A young boy is playing in the park with his mother	4.5	ENTAILMENT
7950	A boy in a white t-shirt is splashing in shallow water	A girl is running through the water at the beach	2.3	NEUTRAL
3291	A woman is putting away carrots	A woman is coating a pork chop	1.7	NEUTRAL
5113	Two sumo wrestlers are fighting	Two sumo ringers are fighting	4	ENTAILMENT
9359	A surfer is surfing a huge wave	A surfer is surfing a big wave	4.9	ENTAILMENT
317	A crowd of people is near the water	A group of children in uniforms is standing at a gate and there is no one kissing the mother	1.3	NEUTRAL
7501	The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt	A person is wearing a red jacket and holding a beer	2.4	NEUTRAL
1232	A man is slicing a tomato	A man is slicing a bun	3.6	NEUTRAL
6005	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk	3.4	NEUTRAL
1396	A man is scared	A man is screaming	3.6	NEUTRAL
8057	A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head	A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head	4.8	ENTAILMENT
2936	Two men are outside a cattle pen	Two men are fighting in a cattle pen	3	NEUTRAL
8220	Two dogs are running through water	Two dogs are running through high grass	3.335	NEUTRAL
9136	A man in a black jersey is standing in a gym	A man is standing in a gym and is wearing a jersey	4.5	ENTAILMENT
647	One man is climbing a cliff with a rope	A person with pink climbing gear roped the rock	3.3	NEUTRAL
1236	A woman is dancing and singing with other women	A woman is dancing and singing alone	3.285	CONTRADICTION
4843	There is no man opening a box with a knife	A man is opening a box with a knife	3.8	CONTRADICTION
2679	A man is parking a car in a garage	A man is getting into a car	3.4	NEUTRAL
2662	The lady is slicing up the meat	The lady isn't cracking an egg for the mixer	2.335	NEUTRAL
211	Two dogs are playing by a tree	Two dogs are playing by a plant	4.6	ENTAILMENT
1711	A man is carelessly holding a frog	A man is emptying a container made of plastic	1.1	NEUTRAL
3862	A man is lazily walking down a road	The man is walking along a path through the wilderness	3.285	NEUTRAL
9056	Two young girls are wearing hats and sticking their colored tongues out	Two kids are sticking out blue and green colored tongues	3.6	NEUTRAL
9198	No lady is standing on the street and is surrounded by school children	A woman in blue jeans is standing in front of a group of children beside a stone built house	3.2	NEUTRAL
3910	A man is packing the guitar	The man is singing and playing the guitar	3.4	NEUTRAL
6709	A little child in a pink sweater is climbing a concrete staircase	A small child is outdoors climbing steps in a grassy area	3.5	NEUTRAL
3790	The person is scrubbing a zucchini	A person is scrubbing a zucchini	5	ENTAILMENT
2932	An onion is being sliced by a woman	The woman is cutting a carrot	2.4	NEUTRAL
7772	A surfer is riding a big wave across dark green water	The surfer is riding a small wave	3.9	CONTRADICTION
6203	A bicyclist is holding a bike over his head in a group of people	A cyclist is being held over the heads of a group of people with the bike	3.4	NEUTRAL
9125	A young woman with Indian clothing and henna on her hand is going through paperwork	A woman is wearing a colorful shirt and a lot of jewelry	2.4	NEUTRAL
4831	A man is slicing a potato into pieces	A man is not cutting a potato	4	CONTRADICTION
4934	An officer is talking to the recruits	Recruits are talking to an officer	3.7	NEUTRAL
8471	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair	4.6	ENTAILMENT
253	A hiker is on top of the mountain and is doing a joyful dance	A hiker is on top of the mountain and is dancing	4.7	ENTAILMENT
630	The man is tossing a kid into the swimming pool that is near the ocean	A man isn't tossing a kid into the swimming pool that is near the ocean	3.5	CONTRADICTION
1495	A man is playing a guitar	A man is strumming a guitar	4.9	ENTAILMENT
9838	A young, topless woman is covered in paint	Some instruments are being played by a band	1	NEUTRAL
7734	A child is experiencing a new world	A boy under an umbrella is being held by his father who is wearing a blue coat	1.5	NEUTRAL
1807	A flute is being played by a man	The adult is playing the guitar loudly	2.4	NEUTRAL
4031	A man is breaking tiles with his hands	There is no man breaking wooden boards with his hand	2.9	NEUTRAL
1443	A man is spitting	A man is talking on the radio	1.7	NEUTRAL
4963	Garlic is being chopped by a woman	A woman is chopping garlic	4.7	ENTAILMENT
7374	A man is standing on the top of the rocks with clouds behind them	Somebody is standing on a mountain top	3.1	NEUTRAL
698	A dog next to a tree, which is probably a pine, is biting a bucket	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	2.785	NEUTRAL
6740	The people are not sitting on a bench in front of a restaurant	Three people are sitting on a bench under some palm trees	3.2	NEUTRAL
7093	The group of people is standing together and looking at the camera	A group of people is standing together and looking at the camera	5	ENTAILMENT
6042	A young child is splashing in the water	The small child is walking through the water and is being guided by another person	3.4	NEUTRAL
9029	Two dogs are playing in a forest	A brown dog is running after a black dog on a rocky shore	2.3	NEUTRAL
6315	A yellow dog is running on white snow on a very sunny day	A yellow dog is running on white snow on a sunny day	4.6	ENTAILMENT
7932	Four athletes are with a woman in a crowded stadium	A person in a pink jacket is running onto the field	2	NEUTRAL
2402	The woman is holding a whole tomato	Someone is cutting a tomato	3.5	NEUTRAL
5119	Two sumo ringers are fighting	A man is riding a water toy in the water	1	NEUTRAL
2476	A group of people is singing	Some people are singing	4.7	ENTAILMENT
1754	A flute is being played in a lovely way by a girl	A flute is being played by a girl	4.6	ENTAILMENT
5909	A woman is pouring ingredients into a bowl	The chef is seasoning the oil	3.1	NEUTRAL
6001	There is no brown dog standing in the water	A dog with golden fur is in the water	2.8	NEUTRAL
9747	Two kids are looking up at the camera and one is sticking out his tongue	A little boy is sticking his tongue out for the camera and another boy is looking on	4.4	ENTAILMENT
2886	A woman is playing a flute	The woman is not playing the flute	3.2	CONTRADICTION
116	Two teams are competing in a football match	A player is throwing the ball	2.9	NEUTRAL
5461	A woman is playing the flute	A man is playing a flute	3.7	NEUTRAL
2231	A woman is tapping her fingers	A woman is resting her fingers on a table	3.1	NEUTRAL
1628	Some ingredients are being mixed in a bowl by a person	Some ingredients are being separated in a bowl by a person	4.6	NEUTRAL
4814	A monkey is teasing a dog at the zoo	A monkey is pulling a dog's tail	4.4	NEUTRAL
1881	The food on the trays is being eaten by the kittens	A few kittens are eating	4.2	ENTAILMENT
5206	The woman is not putting pasta into a dish	A woman is pulling some sticky goo out of a bowl	2.2	NEUTRAL
4891	A man is doing pull-ups	The man is doing exercises in a gym	4	NEUTRAL
9102	A grey dog is bouncing a soccer ball on its head in a grass field	A dog with a blue collar is playing with the ball outside	3.4	NEUTRAL
2842	A girl is practicing the piano	A little girl is playing a grand piano on stage	3.8	NEUTRAL
8632	A man is not rock climbing and a city and a bay are in the background	A man is rock climbing and a city and a bay are in the background	4.4	CONTRADICTION
4866	A woman is exercising	A person is dancing	3	NEUTRAL
780	A woman, who is old, is near a white dog	A woman and a dog are sitting on a tree stump	3.1	NEUTRAL
6955	A blonde boy in green is sitting on a swing	There is no little girl with blond hair smiling and sitting on a swing	3.185	NEUTRAL
1102	A woman is riding a horse	A man is opening a small package that contains headphones	1	NEUTRAL
8138	The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back	The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back	4.4	ENTAILMENT
1847	One man is sitting on the chair	The girl, who is little, is ruffling her hair	1	NEUTRAL
4114	There is no man eating food	A man is eating a pizza	3.2	CONTRADICTION
5148	A woman is buttering a piece of bread	A man is buttering a piece of bread	3.5	NEUTRAL
4707	A group of boys is playing soccer on the beach	A group of men is playing soccer on the beach	4.4	NEUTRAL
7477	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer	4.9	ENTAILMENT
5203	The woman is putting pasta into a dish	Pasta is being put into a dish by a woman	5	ENTAILMENT
687	Two dogs of different breeds are looking at each other across a street	One white dog is staring at the black street	3.4	NEUTRAL
8678	A skateboarder is jumping off a ramp	A skateboarder is making a jump off a ramp	4.8	ENTAILMENT
5206	The woman is not putting pasta into a dish	A woman is pulling some sticky goo out of a bowl	2.2	NEUTRAL
7938	An elegant woman is inside a crowd of people and is looking down	An Asian woman is holding a fur scarf	2.2	NEUTRAL
7649	A little boy is wearing a green soccer strip and is running on the grass	There is no little boy wearing a green soccer strip and running on the grass	3.6	CONTRADICTION
2430	One man is running down the road	A man is running	4.4	ENTAILMENT
5310	There is no girl playing a flute	A girl is playing a flute	3.6	CONTRADICTION
6705	A child, who is small, is outdoors climbing steps outdoors in an area full of grass	A small child is outdoors climbing steps in a grassy area	4.9	ENTAILMENT
4429	The men are talking	Some old women are talking	3	NEUTRAL
3485	The cat is looking out the window at the table on the perch	The cat perched on the table is looking out the window	4.1	NEUTRAL
6590	A young girl is standing on one leg	A young female is dancing	3.3	NEUTRAL
2527	People are riding and paddling a raft	Four people are floating on a raft	4.2	NEUTRAL
7410	A football player is wearing black armbands	An American footballer is wearing the red and white strip	2.4	NEUTRAL
2284	The cat is playing passionately with a watermelon	The cat is playing with a watermelon	4.7	ENTAILMENT
9789	A man is squatting in brush and taking a photo	A girl in gold and purple is holding a rainbow afghan	1	NEUTRAL
2772	A person is pouring oil for cooking into a pot	A person is pouring cooking oil into a pot	5	ENTAILMENT
24	A skilled person is riding a bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	3.4	NEUTRAL
6005	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk	3.4	NEUTRAL
2967	A large green ball is hitting a potato	A large green colored ball is hitting a potato	4.8	ENTAILMENT
9745	The little boy is sticking his tongue out for the camera and another boy is looking on	Two young boys are looking up at the camera and one is sticking out his tongue	4.4	NEUTRAL
4330	The man is drawing	There is no man drawing	3.4	CONTRADICTION
8141	A girl with red hair and red eyebrows is in midspeech	The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back	3	NEUTRAL
2722	A woman, who is seated, is singing a song and playing the guitar	A seated woman is singing a song and playing the guitar	5	ENTAILMENT
5374	A woman is slicing an octopus	An octopus is being sliced by a woman	5	ENTAILMENT
6315	A yellow dog is running on white snow on a very sunny day	A yellow dog is running on white snow on a sunny day	4.6	ENTAILMENT
9169	A little brown and white dog is running on the sidewalk	A little brown and white dog is running on the road	3.7	NEUTRAL
1177	A woman is combing her hair	A woman is arranging her hair	4.1	NEUTRAL
5498	A woman is cutting a lemon	A woman is cutting fruit	4.2	ENTAILMENT
3505	A woman is chopping up garlic	A woman is putting away the garlic	3.6	NEUTRAL
1039	The snowboarder isn't leaping over white snow	A person who is practicing snowboarding jumps into the air	3.3	NEUTRAL
4196	A man is praying fervently	A man is dancing	1.7	NEUTRAL
4288	The woman is slicing cooked octopus	A woman is chopping up an octopus	4.4	ENTAILMENT
7877	A man in blue is riding a horse on a dirt road	A man in a blue cowboy hat is riding a white horse	3.9	NEUTRAL
520	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	3.3	NEUTRAL
7475	The group of dim people is sitting in a room	A man and two women in a darkened room are sitting at a table with candles	2.5	NEUTRAL
236	An Asian man is dancing and three kids are looking	The children of a family are playing and waiting	1.9	NEUTRAL
9200	A man in blue jeans is standing in front of a group of children beside a stone built house	A lady is standing on the street and is surrounded by school children	2	NEUTRAL
9014	A blond child is going down a slide and throwing up his arms	A child with dark hair is going down a slide and throwing up his arms	3.7	CONTRADICTION
1237	Some women are dancing and singing 	A woman is dancing and singing in the rain	3.8	NEUTRAL
3625	There is no woman putting meat in a pan	A woman is putting meat in a pan	3.4	CONTRADICTION
6598	There is no small bee landing on a bunch of yellow flowers	A bee is clinging to a yellow flower	3.9	NEUTRAL
4851	A band is playing some instruments	Some instruments are being played by a band	5	ENTAILMENT
9371	A person with a red hooded jacket and a black backpack is walking near a rocky wall	A man in a red jacket and khaki pants is walking through an European state	3	NEUTRAL
2738	A man is playing an acoustic guitar	The woman is not playing an electric guitar	3	NEUTRAL
2535	There is no cat eating corn on the cob	A cat is eating some corn	2.5	NEUTRAL
9869	A bike is being ridden over a monkey	A person is riding a dirt bike down a dirt hill	2.8	NEUTRAL
3338	There is no man standing on a roof top and playing a violin	A man is standing on a roof top and playing a violin	3.4	CONTRADICTION
3143	A monkey is kicking at a person's glove	The monkey is practicing martial arts	3.6	NEUTRAL
2766	A man and a woman are eating happily	A man and woman are talking	2.6	NEUTRAL
1302	A man is playing flute	A man is playing a game with a ball	1.5	NEUTRAL
651	One man is climbing a cliff with a rope	A person is climbing a rock with a rope, which is pink	4.6	NEUTRAL
185	Few people are eating at red tables in a restaurant without lights	A large group of Asian people is eating at a restaurant	2.6	NEUTRAL
3626	The meat is being dropped into a pan	Someone is dropping the meat into a pan	4.7	ENTAILMENT
2096	A man's white car is being driven away	The man is granting an interview	1.1	NEUTRAL
5745	A baby is playing with a doll	A tiger cub is playing with a ball	1.4	NEUTRAL
6280	A black dog is running in the grass	A dog, which is black, is running in the grass	5	ENTAILMENT
980	A horse is tossing the cowboy wearing pants of blue and red color	A man is getting on a horse on a track laid in the wild	2.1	NEUTRAL
4823	A person is slicing an onion	A person is cutting some ginger	3	NEUTRAL
8362	A boy in a striped shirt is jumping in front of a water fountain	A boy in a striped shirt is jumping behind a water fountain	4.2	NEUTRAL
9069	Two boys are laying in the ocean close to the beach	Two boys are laying in the water close to the beach	4.4	ENTAILMENT
8792	A girl is skipping rope on near a street	A girl is jumping rope on a sidewalk near a parking garage	3.7	NEUTRAL
988	A talk about an adult and a boy is given in the amphitheater	An adult is in the amphitheater and is talking to a boy	3.1	NEUTRAL
2089	The man is denying an interview	The man is granting an interview	3.2	CONTRADICTION
7720	A man is squirting water into the mouth of a white dog with a squirt gun	There is no man spraying a super soaker into the mouth of a dog	2.9	NEUTRAL
9433	The black and white dog is running in a green yard	A black and white dog is running outdoors	4.4	ENTAILMENT
2721	A karate practitioner is kicking at another man who is wearing protective boxing gloves	The man is kick boxing with a trainer	4	NEUTRAL
7228	There is no young boy jumping in the air with his knees bent and arms spread	A person with a green shirt is jumping high over the grass	2.6	NEUTRAL
7548	A young girl in blue is jumping in the air	The young girl in blue is jumping in the air	5	ENTAILMENT
105	Four children are doing backbends in the gym	Four girls are doing backbends and playing outdoors	3.8	NEUTRAL
2364	Some cameras are being burned by a person with a blow torch	The person is setting fire to the cameras	4.2	ENTAILMENT
3036	The puppy is playing with a plastic container	The puppy is not playing with a plastic container	3.2	CONTRADICTION
6849	Two children, who are small, are playing with a toy car in the street	A father is pushing his daughter on a go-kart and another girl is watching	2.2	NEUTRAL
2385	A person is cutting an onion into pieces	A person is slicing a carrot into pieces	3.4	NEUTRAL
5051	A man is opening a door	There is no man opening a door	3.6	CONTRADICTION
1390	A person is standing near a motorcycle	A person is chopping an onion	1.2	NEUTRAL
450	A blond girl is looking at the waves	A lady is surfing and riding a wave	3.3	NEUTRAL
2229	A woman is resting her fingers on a table	A woman is tapping her fingers on a table	4.1	NEUTRAL
9722	A boy wearing a striped shirt is running barefoot on the sandy hill	A boy is running through the sand	3.9	NEUTRAL
2932	An onion is being sliced by a woman	The woman is cutting a carrot	2.4	NEUTRAL
9545	The rider dressed in orange is driving a motorcycle on one wheel	A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up	2.8	NEUTRAL
4376	There is no one playing a piano	A man is playing a guitar	2.7	NEUTRAL
6673	A group of students in uniforms is listening attentively at the front of the class	A classroom full of students is looking attentively in the same direction inside a bamboo structure	2.8	NEUTRAL
3855	A man is walking down a road	A man is stopping in the middle of a road	3.2	NEUTRAL
882	The girl is cheering the man in the blue and white uniform	The girl in the blue and white uniform is cheering	3.1	NEUTRAL
8313	A young girl with painted face is standing next to some other children	Children are being dressed in costumes and playing a game	3.1	NEUTRAL
8505	Two people are sitting on a park bench on a hot day	Two people are sitting on a park bench on a sunny day	4.3	NEUTRAL
6961	A white man is staging a hat and a playing guitar	A man in a white hat is playing guitar on stage	3	NEUTRAL
